Date,TMP
7/2002,39.94
8/2002,38.50
9/2002,37.87
10/2002,31.77
11/2002,29.90
12/2002,21.94
1/2003,28.26
2/2003,23.96
3/2003,28.39
4/2003,30.92
5/2003,36.71
6/2003,39.42
7/2003,39.52
8/2003,38.06
9/2003,36.90
10/2003,34.52
11/2003,28.07
12/2003,25.03
1/2004,23.37
2/2004,24.22
3/2004,32.34
4/2004,31.40
5/2004,37.26
6/2004,39.92
7/2004,39.77
8/2004,39.35
9/2004,35.68
10/2004,32.42
11/2004,25.80
12/2004,23.56
1/2005,23.82
2/2005,23.05
3/2005,27.97
4/2005,33.02
5/2005,36.31
6/2005,39.63
7/2005,40.90
8/2005,38.55
9/2005,40.10
10/2005,34.29
11/2005,31.57
12/2005,26.71
1/2006,26.40
2/2006,28.00
3/2006,27.79
4/2006,32.90
5/2006,37.05
6/2006,40.75
7/2006,39.23
8/2006,37.76
9/2006,35.52
10/2006,33.13
11/2006,30.97
12/2006,24.45
1/2007,21.05
2/2007,26.39
3/2007,30.76
4/2007,31.23
5/2007,35.76
6/2007,40.08
7/2007,38.71
8/2007,37.56
9/2007,36.52
10/2007,35.10
11/2007,29.60
12/2007,22.32
1/2008,23.24
2/2008,26.83
3/2008,30.00
4/2008,33.43
5/2008,33.84
6/2008,40.27
7/2008,37.06
8/2008,36.58
9/2008,37.60
10/2008,35.92
11/2008,30.65
12/2008,24.45
1/2009,26.66
2/2009,28.13
3/2009,29.87
4/2009,32.02
5/2009,37.98
6/2009,38.08
7/2009,41.05
8/2009,40.39
9/2009,38.40
10/2009,32.44
11/2009,29.87
12/2009,23.73
1/2010,24.03
2/2010,24.07
3/2010,28.44
4/2010,30.78
5/2010,35.60
6/2010,39.97
7/2010,39.66
8/2010,39.34
9/2010,39.30
10/2010,33.66
11/2010,28.05
12/2010,26.79
1/2011,24.81
2/2011,24.71
3/2011,31.37
4/2011,33.28
5/2011,35.26
6/2011,40.67
7/2011,39.19
8/2011,40.06
9/2011,39.25
10/2011,36.02
11/2011,26.83
12/2011,21.48
1/2012,27.13
2/2012,25.62
3/2012,29.94
4/2012,32.93
5/2012,37.95
6/2012,40.98
7/2012,38.34
8/2012,38.23
9/2012,36.90
10/2012,34.56
11/2012,31.15
12/2012,24.08
1/2013,23.13
2/2013,24.32
3/2013,31.55
4/2013,32.53
5/2013,36.13
6/2013,40.98
7/2013,38.92
8/2013,39.29
9/2013,38.05
10/2013,34.06
11/2013,29.62
12/2013,25.08
1/2014,28.31
2/2014,29.54
3/2014,30.60
4/2014,32.92
5/2014,36.82
6/2014,41.45
7/2014,38.82
8/2014,38.05
9/2014,36.30
10/2014,35.05
11/2014,29.82
12/2014,25.65
1/2015,25.82
2/2015,29.16
3/2015,31.11
4/2015,32.18
5/2015,32.98
6/2015,39.33
7/2015,38.69
8/2015,39.82
9/2015,36.73
10/2015,34.24
11/2015,27.93
12/2015,24.77
1/2016,25.55
2/2016,31.17
3/2016,30.87
4/2016,32.20
5/2016,34.42
6/2016,41.08
7/2016,39.82
8/2016,38.44
9/2016,36.57
10/2016,37.47
11/2016,30.67
12/2016,24.35
1/2017,24.43
2/2017,27.95
3/2017,32.82
4/2017,34.37
5/2017,34.79
6/2017,39.88
7/2017,37.60
8/2017,39.19
9/2017,37.23
10/2017,38.06
